,tweet_count,tweet_source,tweet_text,tweet_date,tweet_comp_score,tweet_neg_score,tweet_pos_score,tweet_neu_score
53,53,CNN,Judge orders Commerce Secretary Wilbur Ross to testify in lawsuit challenging 2020 Census question… https://t.co/MdXwWQIo69,Sat Sep 22 19:15:08 +0000 2018,-0.0772,0.115,0.097,0.788
54,54,CNN,JUST IN: Christine Blasey Ford's lawyers say she will speak to a Senate panel about her sexual assault allegation a… https://t.co/LVxvYupgpc,Sat Sep 22 19:05:05 +0000 2018,-0.5859,0.167,0.0,0.833
55,55,CNN,3D gun creator wanted on child sex assault charge is arrested in Taiwan https://t.co/y8e1HVOw5U https://t.co/x9mECDmObI,Sat Sep 22 19:00:11 +0000 2018,-0.8519,0.437,0.0,0.563
56,56,CNN,JUST IN: Comcast outbids 21st Century Fox in the nearly two-year battle for Sky. The European broadcaster's board a… https://t.co/L7uaNl3aa9,Sat Sep 22 18:45:07 +0000 2018,-0.3818,0.12,0.0,0.88
57,57,CNN,US-China trade talks stall amid tariff standoff https://t.co/m04qfSiktk https://t.co/9f7uR98cGE,Sat Sep 22 18:30:11 +0000 2018,-0.2023,0.184,0.0,0.816
58,58,CNN,White House furniture finds nouveau life in the Blue Room https://t.co/R7kXXiZ6tf https://t.co/MMRQvPkBv5,Sat Sep 22 18:15:06 +0000 2018,0.0,0.0,0.0,1.0
59,59,CNN,Sen. Bill Nelson's re-election campaign donated only half of the money it received from former Sen. Al Franken's po… https://t.co/2txu4ZIFub,Sat Sep 22 18:00:23 +0000 2018,0.0,0.0,0.0,1.0
60,60,Fox News,".@GreggJarrett: ""[Michael Cohen pleaded] guilty to a non-crime...This is what prosecutors wanted. They wanted somet… https://t.co/5xnMpE4bSc",Sat Sep 22 23:19:00 +0000 2018,-0.4215,0.167,0.0,0.833
61,61,Fox News,'Serial arsonist' gets 74 years for blaze that killed 2 firefighters https://t.co/IJbBaMyJlP,Sat Sep 22 23:14:00 +0000 2018,-0.6705,0.31,0.0,0.69
62,62,Fox News,"While picking up boxes of donated bananas, the Texas Department of Criminal Justice noticed something was off. Amon… https://t.co/l9uW3912DR",Sat Sep 22 23:03:42 +0000 2018,0.0,0.143,0.143,0.714
63,63,Fox News,Minnesota state lawmaker ends reelection bid amid daughter's allegations of inappropriate touching https://t.co/HpzEWrylpQ,Sat Sep 22 22:56:00 +0000 2018,0.0,0.0,0.0,1.0
64,64,Fox News,"Lawmakers are demanding answers on how U.S. federal agencies ""lost"" nearly 1,500 migrant children; William La Jeune… https://t.co/NhZ4cwgzSc",Sat Sep 22 22:48:25 +0000 2018,-0.2263,0.101,0.0,0.899
65,65,Fox News,New York barber goes viral for giving man in wheelchair a haircut outdoors https://t.co/v5f7171KIM,Sat Sep 22 22:48:00 +0000 2018,0.34,0.0,0.167,0.833
66,66,Fox News,Texas shelter puppy finds home working with dispatchers at city’s communication center https://t.co/mPtZvvQzdF,Sat Sep 22 22:39:39 +0000 2018,0.0,0.0,0.0,1.0
67,67,Fox News,"RT @FoxNewsResearch: Election Spotlight
→ Countdown: 𝟒𝟱 𝐝𝐚𝐲𝐬 to the midterms

Recent First-Term Midterms:

•Clinton (1994): House Dems had…",Sat Sep 22 22:38:03 +0000 2018,0.0,0.0,0.0,1.0
68,68,Fox News,".@jeffmason1 on Dr. Ford testifying before Senate: ""If Republicans don't treat this cautiously and with respect, th… https://t.co/MSPrI4740t",Sat Sep 22 22:27:07 +0000 2018,0.2124,0.106,0.145,0.749
69,69,Fox News,Congressional sources 'blind-sided' by Trump decision to back off FISA declassification https://t.co/Omnmbgd1vK,Sat Sep 22 22:24:00 +0000 2018,0.0,0.0,0.0,1.0
70,70,Fox News,.@Jason_Aldean took a moment during the @iHeartRadio Music Festival in Las Vegas on Friday thank the members of law… https://t.co/8jXL0kI6mG,Sat Sep 22 22:15:30 +0000 2018,0.6908,0.0,0.251,0.749
71,71,Fox News,Ford ‘accepts’ request to tell her side of alleged Kavanaugh assault; lawyers request Thursday hearing https://t.co/c9wEiOA91V,Sat Sep 22 22:05:54 +0000 2018,-0.5859,0.202,0.0,0.798
72,72,Fox News,.@MikeBloomberg is considering a run for The White House in 2020; @lauraingle reports. https://t.co/7XRKdUMc2i,Sat Sep 22 22:02:45 +0000 2018,0.0,0.0,0.0,1.0
73,73,Fox News,"Anita Vogel: ""It was just a little over two years ago when @tedcruz was battling it out for the highest office in t… https://t.co/OIA7kelzb6",Sat Sep 22 21:56:28 +0000 2018,-0.2732,0.087,0.0,0.913
74,74,Fox News,"Tennessee father accused of starting house fire, setting daughter's wheelchair ablaze 'while she was in it,' offici… https://t.co/VqG5ijhpKE",Sat Sep 22 21:48:00 +0000 2018,-0.5574,0.223,0.0,0.777
75,75,Fox News,Cosby to fight 'sexually violent predator' tag at sentencing https://t.co/PIWu64enHW,Sat Sep 22 21:42:00 +0000 2018,-0.7964,0.536,0.0,0.464
76,76,Fox News,"More than a dozen victims accuse California surgeon, girlfriend of rape; called 'Bonnie and Clyde' team https://t.co/BvRe1OBgRt",Sat Sep 22 21:36:00 +0000 2018,-0.8428,0.411,0.0,0.589
77,77,Fox News,Rod Rosenstein is pushing back against The New York Times report that he suggested wearing a wire to record @POTUS… https://t.co/4EisiNlotN,Sat Sep 22 21:30:31 +0000 2018,0.0,0.0,0.0,1.0
78,78,Fox News,.@rihanna appointed as ambassador to her native Barbados https://t.co/TkqSJjo05Z,Sat Sep 22 21:26:43 +0000 2018,0.0,0.0,0.0,1.0
79,79,Fox News,"Under President @MikeBloomberg, we might have had Secretary @Oprah https://t.co/mK85TZnjnx",Sat Sep 22 21:20:08 +0000 2018,0.0,0.0,0.0,1.0
80,80,The New York Times,Nonfiction: Witnessing the Rise of Fascism in Italy https://t.co/tLS4qEygtG,Sat Sep 22 23:07:18 +0000 2018,0.0,0.0,0.0,1.0
81,81,The New York Times,RT @shearm: The Trump administration will deny green cards to immigrants who become “public charges” through use of public benefits like fo…,Sat Sep 22 22:56:04 +0000 2018,0.4019,0.091,0.192,0.717
82,82,The New York Times,Sujay Jaswa and Dr. Eleni Greenwood's courtship was mostly about finding time at the right time. And at their marri… https://t.co/W6U6lrITYb,Sat Sep 22 22:45:07 +0000 2018,0.0,0.0,0.0,1.0
83,83,The New York Times,Tiger Woods Soars in Round 3 of the Tour Championship https://t.co/LrFAAxXQM1,Sat Sep 22 22:33:33 +0000 2018,0.4404,0.0,0.244,0.756
84,84,The New York Times,"“Piano &amp; a Microphone 1983,” the first album released by the Prince estate with material from his immense archive,… https://t.co/ADM3aVwC4s",Sat Sep 22 22:20:44 +0000 2018,0.0,0.0,0.0,1.0
85,85,The New York Times,Breaking News: The Trump administration is aiming to sharply restrict new green cards for those who legally use pub… https://t.co/oJSXigW4PF,Sat Sep 22 22:02:37 +0000 2018,-0.296,0.118,0.064,0.818
86,86,The New York Times,A campaign sign for New Jersey Rep. Josh Gottheimer and the home of a supporter were defaced with racist and anti-S… https://t.co/8L0Vgf3SlR,Sat Sep 22 21:50:03 +0000 2018,-0.4404,0.166,0.087,0.747
87,87,The New York Times,"In Opinion

Op-Ed contributor Arlie Hochschild writes of a program that trains rural residents to code, ""The storie… https://t.co/hmB0T5khHr",Sat Sep 22 21:35:03 +0000 2018,0.0,0.0,0.0,1.0
88,88,The New York Times,"RT @peterbakernyt: Removing a president via the 25th Amendment is harder than many think but talk of it within the administration, however…",Sat Sep 22 21:20:05 +0000 2018,0.0,0.0,0.0,1.0
89,89,The New York Times,This recipe for German potato salad — warm potatoes lightly dressed with hot bacon and vinegar — shows why the impo… https://t.co/9F1O9moRfJ,Sat Sep 22 21:07:41 +0000 2018,0.2263,0.0,0.091,0.909
90,90,The New York Times,A special report by The Times unravels everything we know about the Trump-Russia story. https://t.co/IPoYbQslku,Sat Sep 22 21:00:51 +0000 2018,0.4019,0.0,0.172,0.828
91,91,The New York Times,Judge Kavanaugh's nomination has the makings of a pivot point in American politics — the crest of a wave building s… https://t.co/kRG2DfTIf6,Sat Sep 22 20:55:02 +0000 2018,0.0,0.0,0.0,1.0
